Rank,Previous Rank,First Appearance,First Rank,Name,Computer,Site,Manufacturer,Country,Year,Segment,Total Cores,Accelerator/Co-Processor Cores,Rmax,Rpeak,Nmax,Nhalf,Power,Mflops/Watt,Architecture,Processor,Processor Technology,Processor Speed (MHz),Operating System,OS Family,Accelerator/Co-Processor,Cores per Socket,Processor Generation,System Model,System Family,Interconnect Family,Interconnect,Region,Continent
1,1,41,1,Tianhe-2 (MilkyWay-2),"TH-IVB-FEP Cluster, Intel Xeon E5-2692 12C 2.200GHz, TH Express-2, Intel Xeon Phi 31S1P",National Super Computer Center in Guangzhou,NUDT,China,2013,Research,3120000,2736000,33862700,54902400,9960000,0,17808,1901.54,Cluster,Intel Xeon E5-2692v2 12C 2.2GHz,Intel IvyBridge,2200,Kylin Linux,Linux,Intel Xeon Phi 31S1P,12,Intel Xeon E5 (IvyBridge),TH-IVB-FEP Cluster,TH-IVB Cluster,Custom Interconnect,TH Express-2,Eastern Asia,Asia
2,2,40,1,Titan,"Cray XK7 , Opteron 6274 16C 2.200GHz, Cray Gemini interconnect, NVIDIA K20x",DOE/SC/Oak Ridge National Laboratory,Cray Inc.,United States,2012,Research,560640,261632,17590000,27112550,0,0,8209,2142.77,MPP,Opteron 6274 16C 2.2GHz,AMD x86_64,2200,Cray Linux Environment ,Linux,NVIDIA Tesla K20x,16,"Opteron 6200 Series ""Interlagos""",Cray XK7 ,Cray XK,Custom Interconnect,Cray Gemini interconnect,North America,Americas
3,3,38,17,Sequoia,"BlueGene/Q, Power BQC 16C 1.60 GHz, Custom",DOE/NNSA/LLNL,IBM,United States,2011,Research,1572864,0,17173224,20132659.2,0,0,7890,2176.58,MPP,Power BQC 16C 1.6GHz,PowerPC,1600,Linux,Linux,None,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,North America,Americas
4,4,37,1,,"K computer, SPARC64 VIIIfx 2.0GHz, Tofu interconnect",RIKEN Advanced Institute for Computational Science (AICS),Fujitsu,Japan,2011,Research,705024,0,10510000,11280384,11870208,0,12659.89,830.18,Cluster,SPARC64 VIIIfx 8C 2GHz,Sparc,2000,Linux,Linux,None,8,SPARC64 VIIIfx,K computer,Fujitsu Cluster,Custom Interconnect,Custom Interconnect,Eastern Asia,Asia
5,5,39,3,Mira,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom",DOE/SC/Argonne National Laboratory,IBM,United States,2012,Research,786432,0,8586612,10066330,0,0,3945,2176.58,MPP,Power BQC 16C 1.6GHz,PowerPC,1600,Linux,Linux,None,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,North America,Americas
6,,46,6,Trinity,"Cray XC40, Xeon E5-2698v3 16C 2.3GHz, Aries interconnect ",DOE/NNSA/LANL/SNL,Cray Inc.,United States,2015,Research,301056,0,8100900,11078861,8847936,0,,,MPP,Xeon E5-2698v3 16C 2.3GHz,Intel Haswell,2300,Cray Linux Environment ,Linux,None,16,Intel Xeon E5 (Haswell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,North America,Americas
7,6,40,114,Piz Daint,"Cray XC30, Xeon E5-2670 8C 2.600GHz, Aries interconnect , NVIDIA K20x",Swiss National Supercomputing Centre (CSCS),Cray Inc.,Switzerland,2012,Research,115984,73808,6271000,7788852.8,4128768,0,2325,2697.2,MPP,Xeon E5-2670 8C 2.6GHz,Intel SandyBridge,2600,Cray Linux Environment ,Linux,NVIDIA Tesla K20x,8,Intel Xeon E5 (SandyBridge),Cray XC30,Cray XC,Custom Interconnect,Aries interconnect ,Western Europe,Europe
8,23,44,16,Hazel Hen,"Cray XC40, Xeon E5-2680v3 12C 2.5GHz, Aries interconnect ",HLRS - Höchstleistungsrechenzentrum Stuttgart,Cray Inc.,Germany,2015,Research,185088,0,5640170,7403520,4973760,0,,,MPP,Xeon E5-2680v3 12C 2.5GHz,Intel Haswell,2500,Cray Linux Environment ,Linux,None,12,Intel Xeon E5 (Haswell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,Western Europe,Europe
9,7,45,7,Shaheen II,"Cray XC40, Xeon E5-2698v3 16C 2.3GHz, Aries interconnect ",King Abdullah University of Science and Technology,Cray Inc.,Saudi Arabia,2015,Academic,196608,0,5536990,7235174,9738048,0,2834,1953.77,MPP,Xeon E5-2698v3 16C 2.3GHz,Intel Haswell,2300,Cray Linux Environment ,Linux,None,16,Intel Xeon E5 (Haswell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,Western Asia,Asia
10,8,40,7,Stampede,"PowerEdge C8220, Xeon E5-2680 8C 2.700GHz, Infiniband FDR, Intel Xeon Phi SE10P",Texas Advanced Computing Center/Univ. of Texas,Dell,United States,2012,Academic,462462,366366,5168110,8520111.6,3875000,0,4510,1145.92,Cluster,Xeon E5-2680 8C 2.7GHz,Intel SandyBridge,2700,Linux,Linux,Intel Xeon Phi SE10P,8,Intel Xeon E5 (SandyBridge),PowerEdge C8220,Dell PowerEdge Cluster,Infiniband,Infiniband FDR,North America,Americas
11,9,39,8,JUQUEEN,"BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect",Forschungszentrum Juelich (FZJ),IBM,Germany,2012,Research,458752,0,5008857,5872025.6,0,0,2301,2176.82,MPP,Power BQC 16C 1.6GHz,PowerPC,1600,Linux,Linux,None,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,Western Europe,Europe
12,10,39,48,Vulcan,"BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect",DOE/NNSA/LLNL,IBM,United States,2012,Research,393216,0,4293306,5033165,0,0,1972,2177.13,MPP,Power BQC 16C 1.6GHz,PowerPC,1600,Linux,Linux,None,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,North America,Americas
13,11,37,7,Pleiades,"SGI ICE X, Intel Xeon E5-2670/E5-2680v2/E5-2680v3  2.6/2.8/2.5 GHz, Infiniband FDR",NASA/Ames Research Center/NAS,SGI,United States,2011,Research,185344,0,4089430,4970910,5459520,0,3380,1209.89,Cluster,Intel Xeon E5-2680v2  10C 2.8GHz,Intel IvyBridge,2800,SUSE Linux Enterprise Server 11,Linux,None,10,Intel Xeon E5 (IvyBridge),SGI ICE X,SGI ICE,Infiniband,Infiniband FDR,North America,Americas
14,12,45,12,Abel,"Cray XC30, Xeon E5-2698v3 16C 2.3GHz, Aries interconnect ",Petroleum Geo-Services,Cray Inc.,United States,2015,Industry,145920,0,4042460,5369856,8338176,0,1800,2245.81,MPP,Xeon E5-2698v3 16C 2.3GHz,Intel Haswell,2300,Cray Linux Environment ,Linux,None,16,Intel Xeon E5 (Haswell),Cray XC30,Cray XC,Custom Interconnect,Aries interconnect ,North America,Americas
15,13,45,13,,"Cray CS-Storm, Intel Xeon E5-2660v2 10C 2.2GHz, Infiniband FDR, Nvidia K40",Government,Cray Inc.,United States,2015,Government,72800,62400,3577000,6131840,2336000,0,1498.9,2386.42,Cluster,Intel Xeon E5-2660v2 10C 2.2GHz,Intel IvyBridge,2200,Linux,Linux,NVIDIA Tesla K40,10,Intel Xeon E5 (IvyBridge),Cray CS-Storm,Cray CS-Storm,Infiniband,Infiniband FDR,North America,Americas
16,14,44,10,,"Cray CS-Storm, Intel Xeon E5-2660v2 10C 2.2GHz, Infiniband FDR, Nvidia K40",Government,Cray Inc.,United States,2014,Government,72800,62400,3577000,6131840,2336000,0,1498.9,2386.42,Cluster,Intel Xeon E5-2660v2 10C 2.2GHz,Intel IvyBridge,2200,Linux,Linux,NVIDIA Tesla K40,10,Intel Xeon E5 (IvyBridge),Cray CS-Storm,Cray CS-Storm,Infiniband,Infiniband FDR,North America,Americas
17,15,44,64,C01N,"SGI ICE X/SuperBlade SBI-7127RG-E, Intel Xeon E5-2695v2 12C 2.4GHz, Infiniband FDR, NDIVA M2090/Intel Xeon Phi 7120P",Tulip Trading,Supermicro/SGI,Australia,2014,Industry,265440,170976,3521000,4470408,1847808,0,4499.87,782.47,Cluster,Intel Xeon E5-2695v2 12C 2.4GHz,Intel IvyBridge,2400,CentOS,Linux,NDIVA M2090/Intel Xeon Phi 7120P,12,Intel Xeon E5 (IvyBridge),SuperBlade SBI-7127RG-E,Supermicro Cluster,Infiniband,Infiniband FDR,Australia and New Zealand,Oceania
18,16,45,16,Topaz,"SGI ICE X, Xeon E5-2699v3 18C 2.3GHz, Infiniband FDR",ERDC DSRC,SGI,United States,2015,Research,124200,0,3318950,4570560,5779200,0,,,Cluster,Xeon E5-2699v3 18C 2.3GHz,Intel Haswell,2300,SUSE Linux Enterprise Server 11,Linux,None,18,Intel Xeon E5 (Haswell),SGI ICE X,SGI ICE,Infiniband,Infiniband FDR,North America,Americas
19,17,43,11,HPC2,"iDataPlex DX360M4, Intel Xeon E5-2680v2  10C 2.8GHz, Infiniband FDR, NVIDIA K20x",Exploration & Production - Eni S.p.A.,IBM,Italy,2014,Industry,72000,42000,3188000,4605000,3978240,0,1227,2598.21,Cluster,Intel Xeon E5-2680v2  10C 2.8GHz,Intel IvyBridge,2800,Linux,Linux,NVIDIA Tesla K20x,10,Intel Xeon E5 (IvyBridge),iDataPlex DX360M4,IBM iDataPlex,Infiniband,Infiniband FDR,Southern Europe,Europe
20,18,43,10,,"Cray XC30, Intel Xeon E5-2697v2 12C 2.7GHz, Aries interconnect ",Government,Cray Inc.,United States,2014,Government,225984,0,3143520,4881254.4,2541684,0,,,MPP,Intel Xeon E5-2697v2 12C 2.7GHz,Intel IvyBridge,2700,Cray Linux Environment ,Linux,None,12,Intel Xeon E5 (IvyBridge),Cray XC30,Cray XC,Custom Interconnect,Aries interconnect ,North America,Americas
21,19,45,19,Thunder,"SGI ICE X, Xeon E5-2699v3/E5-2697 v3, Infiniband FDR, NVIDIA Tesla K40, Intel Xeon Phi 7120P",Air Force Research Laboratory,SGI,United States,2015,Government,152692,27056,3126240,5610481,5572800,0,,,Cluster,Xeon E5-2699v3 18C 2.3GHz,Intel Haswell,2300,SUSE Linux Enterprise Server 11,Linux,NVIDIA Tesla K40/Intel Xeon Phi 7120P,18,Intel Xeon E5 (Haswell),SGI ICE X,SGI ICE,Infiniband,Infiniband FDR,North America,Americas
22,,46,22,,"Fujitsu PRIMEHPC FX100, SPARC64 XIfx 32C 2.2GHz, Tofu interconnect 2","Information Technology Center, Nagoya University",Fujitsu,Japan,2015,Academic,92160,0,2910000,3244032,3061760,0,,,Cluster,SPARC64 XIfx 32C 2.2GHz,Sparc,2200,Linux,Linux,None,32,SPARC64 XIfx,Fujitsu PRIMEHPC FX100,Fujitsu PRIMEHPC,Proprietary Network,Tofu interconnect 2,Eastern Asia,Asia
23,20,39,4,SuperMUC,"iDataPlex DX360M4, Xeon E5-2680 8C 2.70GHz, Infiniband FDR",Leibniz Rechenzentrum,IBM/Lenovo,Germany,2012,Academic,147456,0,2897000,3185050,5201920,0,3422.67,846.42,Cluster,Xeon E5-2680 8C 2.7GHz,Intel SandyBridge,2700,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),iDataPlex DX360M4,IBM iDataPlex,Infiniband,Infiniband FDR,Western Europe,Europe
24,21,45,21,SuperMUC Phase 2,"IBM NeXtScale nx360M5, Xeon E5-2697v3 14C 2.6GHz, Infiniband FDR14",Leibniz Rechenzentrum,Lenovo/IBM,Germany,2015,Academic,86016,0,2813620,3578266,4423680,0,1480.83,1900.03,Cluster,Xeon E5-2697v3 14C 2.6GHz,Intel Haswell,2600,Linux,Linux,None,14,Intel Xeon E5 (Haswell),IBM NeXtScale nx360M5,IBM NeXtScale,Infiniband,Infiniband FDR14,Western Europe,Europe
25,22,42,11,TSUBAME 2.5,"Cluster Platform SL390s G7, Xeon X5670 6C 2.93GHz, Infiniband QDR, NVIDIA K20x","GSIC Center, Tokyo Institute of Technology",NEC/HP,Japan,2013,Academic,76032,59136,2785000,5735685.12,1700000,0,1398.61,1991.26,Cluster,Xeon X5670 6C 2.93GHz,Intel Nehalem,2930,SUSE Linux Enterprise Server 11,Linux,NVIDIA Tesla K20x,6,Xeon 5600-series (Westmere-EP),Cluster Platform SL390s G7,HP Cluster Platform 3000SL,Infiniband,Infiniband QDR,Eastern Asia,Asia
26,24,36,1,Tianhe-1A,"NUDT YH MPP, Xeon X5670 6C 2.93 GHz, NVIDIA 2050",National Supercomputing Center in Tianjin,NUDT,China,2010,Research,186368,100352,2566000,4701000,3600000,1000000,4040,635.15,MPP,Xeon X5670 6C 2.93GHz,Intel Nehalem,2930,Linux,Linux,NVIDIA 2050,6,Xeon 5600-series (Westmere-EP),NUDT YH MPP,NUDT MPP,Proprietary Network,Proprietary,Eastern Asia,Asia
27,25,42,13,cascade,"Atipa Visione IF442 Blade Server, Xeon E5-2670 8C 2.600GHz, Infiniband FDR, Intel Xeon Phi 5110P",DOE/SC/Pacific Northwest National Laboratory,Atipa Technology,United States,2013,Research,194616,171720,2539130,3388032,4032000,0,1384,1834.63,Cluster,Xeon E5-2670 8C 2.6GHz,Intel SandyBridge,2600,Linux,Linux,Intel Xeon Phi 5110P,8,Intel Xeon E5 (SandyBridge),Atipa Visione IF442 Blade Server,Atipa Cluster,Infiniband,Infiniband FDR,North America,Americas
28,26,44,19,Excalibur,"Cray XC40, Xeon E5-2698v3 16C 2.3GHz, Aries interconnect ",Army Research Laboratory DoD Supercomputing Resource Center (ARL DSRC),Cray Inc.,United States,2014,Government,100064,0,2485000,3682355.2,6441408,0,,,MPP,Xeon E5-2698v3 16C 2.3GHz,Intel Haswell,2300,Cray Linux Environment ,Linux,None,16,Intel Xeon E5 (Haswell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,North America,Americas
29,,46,29,Nuri,"Cray XC40, Xeon E5-2690v3 12C 2.6GHz, Aries interconnect ",Korea Meteorological Administration,Cray Inc.,"Korea, South",2015,Research,69600,0,2395680,2895360,6661248,0,,,MPP,Xeon E5-2690v3 12C 2.6GHz,Intel Haswell,2600,Cray Linux Environment ,Linux,None,12,Intel Xeon E5 (Haswell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,Eastern Asia,Asia
30,,46,30,Miri,"Cray XC40, Xeon E5-2690v3 12C 2.6GHz, Aries interconnect ",Korea Meteorological Administration,Cray Inc.,"Korea, South",2015,Research,69600,0,2395680,2895360,6661248,0,,,MPP,Xeon E5-2690v3 12C 2.6GHz,Intel Haswell,2600,Cray Linux Environment ,Linux,None,12,Intel Xeon E5 (Haswell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,Eastern Asia,Asia
31,27,45,27,Plasma Simulator,"Fujitsu PRIMEHPC FX100, SPARC64 XIfx  32C 1.98GHz, Tofu interconnect 2",National Institute for Fusion Science (NIFS),Fujitsu,Japan,2015,Research,82944,0,2376000,2621030,2860416,0,,,Cluster,SPARC64 XIfx  32C 1.98GHz,Sparc,1975,Linux,Linux,None,32,SPARC64 XIfx,Fujitsu PRIMEHPC FX100,Fujitsu PRIMEHPC,Proprietary Network,Tofu interconnect 2,Eastern Asia,Asia
32,28,45,28,Makman-2,"Dell PowerEdge R630, Xeon E5-2680v3 12C 2.5GHz, Infiniband QDR",Saudi Aramco,Dell,Saudi Arabia,2015,Industry,76032,0,2249680,3041280,4460544,0,1134,1983.84,Cluster,Xeon E5-2680v3 12C 2.5GHz,Intel Haswell,2500,Redhat Enterprise Linux 6.5,Linux,None,12,Intel Xeon E5 (Haswell),Dell PowerEdge R630,Dell PowerEdge Cluster,Infiniband,Infiniband QDR,Western Asia,Asia
33,29,41,11,Pangea,"SGI ICE X, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",Total Exploration Production,SGI,France,2013,Industry,110400,0,2098090,2296320,3862528,0,2118,990.6,Cluster,Xeon E5-2670 8C 2.6GHz,Intel SandyBridge,2600,SUSE Linux Enterprise Server 11,Linux,None,8,Intel Xeon E5 (SandyBridge),SGI ICE X,SGI ICE,Infiniband,Infiniband FDR,Western Europe,Europe
34,30,44,21,Tianhe-2 LvLiang Solution,"Tianhe-2 LvLiang, Intel Xeon E5-2692v2 12C 2.2GHz, TH Express-2, Intel Xeon Phi 31S1P",LvLiang Cloud Computing Center,NUDT,China,2014,Industry,174720,153216,2071390,3074534.4,2366976,0,997,2077.62,Cluster,Intel Xeon E5-2692v2 12C 2.2GHz,Intel IvyBridge,2200,Kylin Linux,Linux,Intel Xeon Phi 31S1P,12,Intel Xeon E5 (IvyBridge),Tianhe-2 LvLiang,Tianhe-2 LvLiang,Custom Interconnect,TH Express-2,Eastern Asia,Asia
35,31,43,129,Lomonosov 2,"T-Platform A-Class Cluster, Xeon E5-2697v3 14C 2.6GHz, Infiniband FDR, Nvidia K40m",Moscow State University - Research Computing Center,T-Platforms,Russia,2014,Academic,37120,19200,1849000,2575872,2293760,0,,,Cluster,Xeon E5-2697v3 14C 2.6GHz,Intel Haswell,2600,Linux,Linux,NVIDIA Tesla K40m,14,Intel Xeon E5 (Haswell),T-Platform A-Class Cluster,T-Platforms Cluster,Infiniband,Infiniband FDR,Eastern Europe,Europe
36,32,39,7,Fermi,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom",CINECA,IBM,Italy,2012,Academic,163840,0,1788878,2097152,0,0,821.88,2176.57,MPP,Power BQC 16C 1.6GHz,PowerPC,1600,Linux,Linux,None,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,Southern Europe,Europe
37,33,45,33,SwiftLucy,"Cluster Platform 3000 BL460c Gen9, Xeon E5-2680v3 12C 2.5GHz, Infiniband FDR",Government,Hewlett-Packard,United States,2015,Government,57600,0,1703280,2304000,3450432,0,,,Cluster,Xeon E5-2680v3 12C 2.5GHz,Intel Haswell,2500,Linux,Linux,None,12,Intel Xeon E5 (Haswell),Cluster Platform 3000 BL460c Gen9,HP Cluster Platform 3000BL,Infiniband,Infiniband FDR,North America,Americas
38,49,45,49,Prometheus,"HP Apollo 8000, Xeon E5-2680v3 12C 2.5GHz, Infiniband FDR, NVIDIA Tesla K40",Cyfronet,Hewlett-Packard,Poland,2015,Academic,55728,2160,1670090,2348640,5439592,0,816,2046.68,Cluster,Xeon E5-2680v3 12C 2.5GHz,Intel Haswell,2500,Linux,Linux,NVIDIA Tesla K40,12,Intel Xeon E5 (Haswell),HP Apollo 8000,HP Apollo,Infiniband,Infiniband FDR,Eastern Europe,Europe
39,34,43,18,Edison,"Cray XC30, Intel Xeon E5-2695v2 12C 2.4GHz, Aries interconnect ",DOE/SC/LBNL/NERSC,Cray Inc.,United States,2014,Research,133824,0,1654702,2569420.8,0,0,,,MPP,Intel Xeon E5-2695v2 12C 2.4GHz,Intel IvyBridge,2400,Cray Linux Environment ,Linux,None,12,Intel Xeon E5 (IvyBridge),Cray XC30,Cray XC,Custom Interconnect,Aries interconnect ,North America,Americas
40,35,42,19,ARCHER,"Cray XC30, Intel Xeon E5 v2 12C 2.700GHz, Aries interconnect ",EPSRC/University of Edinburgh,Cray Inc.,United Kingdom,2014,Research,118080,0,1642536,2550528,0,0,,,MPP,Intel Xeon E5-2697v2 12C 2.7GHz,Intel IvyBridge,2700,Cray Linux Environment ,Linux,None,12,Intel Xeon E5 (IvyBridge),Cray XC30,Cray XC,Custom Interconnect,Aries interconnect ,Northern Europe,Europe
41,,46,41,Luna,"Cray XC40, Xeon E5-2690v3 12C 2.6GHz, Aries interconnect ",NOAA,Cray Inc.,United States,2015,Research,48960,0,1635020,2036736,3950400,0,,,MPP,Xeon E5-2690v3 12C 2.6GHz,Intel Haswell,2600,Cray Linux Environment ,Linux,None,12,Intel Xeon E5 (Haswell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,North America,Americas
42,,46,42,Surge,"Cray XC40, Xeon E5-2690v3 12C 2.6GHz, Aries interconnect ",NOAA,Cray Inc.,United States,2015,Research,48960,0,1635020,2036736,3950400,0,,,MPP,Xeon E5-2690v3 12C 2.6GHz,Intel Haswell,2600,Cray Linux Environment ,Linux,None,12,Intel Xeon E5 (Haswell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,North America,Americas
43,36,44,26,Occigen,"bullx  DLC, Xeon E5-2690v3 12C 2.6GHz, Infiniband FDR",Grand Equipement National de Calcul Intensif - Centre Informatique National de l'Enseignement Suprieur (GENCI-CINES),"Bull, Atos Group",France,2014,Academic,50544,0,1628770,2102630.4,3974400,0,934.8,1742.37,Cluster,Xeon E5-2690v3 12C 2.6GHz,Intel Haswell,2600,Redhat Enterprise Linux 6.4,Linux,None,12,Intel Xeon E5 (Haswell),bullx DLC 720,Bull Bullx,Infiniband,Infiniband FDR,Western Europe,Europe
44,37,42,17,,"Power 775, POWER7 8C 3.836GHz, Custom Interconnect",IBM Development Engineering,IBM,United States,2013,Vendor,62944,0,1587000,1931625,0,0,3575.63,443.84,MPP,POWER7 8C 3.84GHz,Power,3836,Linux,Linux,None,8,POWER7,Power 775,IBM pSeries,Custom Interconnect,Custom Interconnect,North America,Americas
45,39,43,19,,"Cray XC30, Intel Xeon E5-2697v2 12C 2.7GHz, Aries interconnect ",ECMWF,Cray Inc.,United Kingdom,2014,Research,83160,0,1552000,1796256,4307352,0,,,MPP,Intel Xeon E5-2697v2 12C 2.7GHz,Intel IvyBridge,2700,Cray Linux Environment ,Linux,None,12,Intel Xeon E5 (IvyBridge),Cray XC30,Cray XC,Custom Interconnect,Aries interconnect ,Northern Europe,Europe
46,38,43,20,,"Cray XC30, Intel Xeon E5-2697v2 12C 2.7GHz, Aries interconnect ",ECMWF,Cray Inc.,United Kingdom,2014,Research,83160,0,1552000,1796256,4307352,0,,,MPP,Intel Xeon E5-2697v2 12C 2.7GHz,Intel IvyBridge,2700,Cray Linux Environment ,Linux,None,12,Intel Xeon E5 (IvyBridge),Cray XC30,Cray XC,Custom Interconnect,Aries interconnect ,Northern Europe,Europe
47,40,45,40,Salomon,"SGI ICE X, Xeon E5-2680v3 12C 2.5GHz, Infiniband FDR, Intel Xeon Phi 7120P","IT4Innovations National Supercomputing Center, VSB-Technical University of Ostrava",SGI,Czech Republic,2015,Academic,76896,52704,1457730,2011641,2838528,0,,,Cluster,Xeon E5-2680v3 12C 2.5GHz,Intel Haswell,2500,CentOS,Linux,Intel Xeon Phi 7120P,12,Intel Xeon E5 (Haswell),SGI ICE X,SGI ICE,Infiniband,Infiniband FDR,Eastern Europe,Europe
48,41,39,13,Blue Joule,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom",Science and Technology Facilities Council - Daresbury Laboratory,IBM,United Kingdom,2012,Research,131072,0,1431102,1677722,0,0,657,2178.24,MPP,Power BQC 16C 1.6GHz,PowerPC,1600,Linux,Linux,None,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,Northern Europe,Europe
49,,46,49,JURECA,"T-Platform V-Class Cluster, Xeon E5-2680v3 12C 2.5GHz, Infiniband EDR, NVIDIA Tesla K80/K40",Forschungszentrum Juelich (FZJ),T-Platforms,Germany,2015,Research,49476,4260,1424720,1693440,4000000,450000,1016,1402.28,Cluster,Xeon E5-2680v3 12C 2.5GHz,Intel Haswell,2500,CentOS,Linux,NVIDIA Tesla K80,12,Intel Xeon E5 (Haswell),T-Platform V-Class Cluster,T-Platforms Cluster,Infiniband,Infiniband EDR,Western Europe,Europe
50,42,40,69,Spirit,"SGI ICE X, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",Air Force Research Laboratory,SGI,United States,2012,Government,73584,0,1415470,1530547.2,3128832,0,1606,881.36,Cluster,Xeon E5-2670 8C 2.6GHz,Intel SandyBridge,2600,Redhat Enterprise Linux 6,Linux,None,8,Intel Xeon E5 (SandyBridge),SGI ICE X,SGI ICE,Infiniband,Infiniband FDR,North America,Americas
51,43,44,32,Beskow,"Cray XC40, Xeon E5-2698v3 16C 2.3GHz, Aries interconnect ",KTH - Royal Institute of Technology,Cray Inc.,Sweden,2014,Academic,53632,0,1397000,1973657.6,3367296,0,,,MPP,Xeon E5-2698v3 16C 2.3GHz,Intel Haswell,2300,Cray Linux Environment ,Linux,None,16,Intel Xeon E5 (Haswell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,Northern Europe,Europe
52,44,39,9,Curie thin nodes,"Bullx B510, Xeon E5-2680 8C 2.700GHz, Infiniband QDR",CEA/TGCC-GENCI,"Bull, Atos Group",France,2012,Research,77184,0,1359000,1667174,5757528,0,2251,603.73,Cluster,Xeon E5-2680 8C 2.7GHz,Intel SandyBridge,2700,bullx SUperCOmputer Suite A.E.2.1,Linux,None,8,Intel Xeon E5 (SandyBridge),Bullx B510,Bull Bullx,Infiniband,Infiniband QDR,Western Europe,Europe
53,45,45,45,Gordon,"Cray XC40, Xeon E5-2698v3 16C 2.3GHz, Aries interconnect , Intel Xeon Phi 5120D",Navy DSRC,Cray Inc.,United States,2015,Government,61256,10248,1285600,2049602,4838400,0,,,MPP,Xeon E5-2698v3 16C 2.3GHz,Intel Haswell,2300,Cray Linux Environment ,Linux,Intel Xeon Phi 5120D,16,Intel Xeon E5 (Haswell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,North America,Americas
54,46,45,46,Conrad,"Cray XC40, Xeon E5-2698v3 16C 2.3GHz, Aries interconnect , Intel Xeon Phi 5120D",Navy DSRC,Cray Inc.,United States,2015,Government,61256,10248,1285600,2049602,4838400,0,,,MPP,Xeon E5-2698v3 16C 2.3GHz,Intel Haswell,2300,Cray Linux Environment ,Linux,Intel Xeon Phi 5120D,16,Intel Xeon E5 (Haswell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,North America,Americas
55,47,42,31,,"iDataPlex DX360M4, Intel Xeon E5-2680v2  10C 2.800GHz, Infiniband FDR",Max-Planck-Gesellschaft MPI/IPP,Lenovo/IBM,Germany,2013,Research,65320,0,1283311.9,1463168,0,0,1260,1018.5,Cluster,Intel Xeon E5-2680v2  10C 2.8GHz,Intel IvyBridge,2800,Linux,Linux,None,10,Intel Xeon E5 (IvyBridge),iDataPlex DX360M4,IBM iDataPlex,Infiniband,Infiniband FDR,Western Europe,Europe
56,48,35,2,Nebulae,"Dawning TC3600 Blade System, Xeon X5650 6C 2.66GHz, Infiniband QDR, NVIDIA 2050",National Supercomputing Centre in Shenzhen (NSCS),Sugon,China,2010,Research,120640,64960,1271000,2984300,2359296,0,2580,492.64,Cluster,Xeon X5650 6C 2.66GHz,Intel Nehalem,2660,Linux,Linux,NVIDIA 2050,6,Xeon 5600-series (Westmere-EP),Dawning TC3600 Blade System,Dawning Cluster,Infiniband,Infiniband QDR,Eastern Asia,Asia
57,50,40,13,Yellowstone,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",NCAR (National Center for Atmospheric Research),IBM,United States,2012,Research,72288,0,1257615,1503590,0,0,1436.72,875.34,Cluster,Xeon E5-2670 8C 2.6GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),iDataPlex DX360M4,IBM iDataPlex,Infiniband,Infiniband FDR,North America,Americas
58,51,40,118,Sisu,"Cray XC40, Xeon E5-2690v3 12C 2.6GHz, Aries interconnect ",CSC (Center for Scientific Computing),Cray Inc.,Finland,2014,Academic,40608,0,1250000,1689292.8,3301440,0,680,1838.24,MPP,Xeon E5-2690v3 12C 2.6GHz,Intel Haswell,2600,Cray Linux Environment ,Linux,None,12,Intel Xeon E5 (Haswell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,Northern Europe,Europe
